epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,8120.41,0.5975,0.35868,1.03837,0.95538,1,0.99427,0.64292,1.2332,0.53346,1.69884,0.000247625,0.000247625,0.000247625
83,8206.28,0.64962,0.38352,1.07144,0.96259,0.99167,0.99335,0.63919,1.24219,0.53993,1.71747,0.00023525,0.00023525,0.00023525
84,8317.19,0.64911,0.38378,1.08147,0.97075,0.99167,0.99284,0.6281,1.25025,0.54331,1.71681,0.000222875,0.000222875,0.000222875
85,8408.29,0.5994,0.36478,1.02963,0.96939,0.99167,0.98908,0.62191,1.27483,0.54561,1.73535,0.0002105,0.0002105,0.0002105
86,8514.37,0.61482,0.37533,1.04354,0.9594,0.99167,0.98861,0.61926,1.30807,0.53173,1.76338,0.000198125,0.000198125,0.000198125
87,8607.4,0.62979,0.37638,1.05386,0.97122,0.98587,0.98895,0.62328,1.30157,0.52782,1.76567,0.00018575,0.00018575,0.00018575
88,8712.59,0.62545,0.37967,1.05628,0.98084,0.97944,0.98895,0.6229,1.27754,0.521,1.75929,0.000173375,0.000173375,0.000173375
89,8802.07,0.59519,0.3489,1.02717,0.98121,0.97981,0.98758,0.62325,1.25566,0.51108,1.74967,0.000161,0.000161,0.000161
90,8907.73,0.6309,0.35647,1.05639,0.962,0.99167,0.98637,0.63451,1.24849,0.51185,1.75194,0.000148625,0.000148625,0.000148625
91,8995.54,0.61266,0.40757,1.07762,0.95558,0.99167,0.98637,0.63146,1.2631,0.52525,1.75777,0.00013625,0.00013625,0.00013625
92,9093.81,0.60597,0.38492,1.0674,0.9565,1,0.995,0.62454,1.27769,0.54558,1.74299,0.000123875,0.000123875,0.000123875
93,9189.89,0.58502,0.37399,1.03967,0.95287,1,0.995,0.629,1.27689,0.55442,1.73707,0.0001115,0.0001115,0.0001115
94,9293.15,0.56464,0.36059,1.02029,0.94747,1,0.99452,0.63006,1.25448,0.5383,1.71353,9.9125e-05,9.9125e-05,9.9125e-05
95,9386.91,0.57435,0.35613,1.0155,0.94944,0.99936,0.99429,0.63057,1.24012,0.52646,1.70101,8.675e-05,8.675e-05,8.675e-05
96,9491.02,0.57475,0.35737,1.03526,0.97842,0.99028,0.99429,0.63073,1.23182,0.52032,1.70669,7.4375e-05,7.4375e-05,7.4375e-05
97,9580.69,0.56005,0.34035,1.03355,0.96306,0.98245,0.98709,0.6307,1.23278,0.51383,1.71594,6.2e-05,6.2e-05,6.2e-05
98,9685.12,0.56623,0.3405,1.04309,0.96069,0.97242,0.98323,0.6279,1.24421,0.51358,1.7395,4.9625e-05,4.9625e-05,4.9625e-05
99,9778.01,0.55929,0.338,1.01428,0.95966,0.96667,0.98212,0.62657,1.24657,0.51659,1.74245,3.725e-05,3.725e-05,3.725e-05
100,9879.87,0.55749,0.33138,1.02125,0.95751,0.96667,0.98231,0.62798,1.24325,0.51662,1.73607,2.4875e-05,2.4875e-05,2.4875e-05
